SalesOrderID,OrderDate,ShipDate,CustomerID,ShipToAddressID,BillToAddressID,SubTotal,TaxAmt,Freight,TotalDue
43727,6/7/2011,6/14/2011,16607,15502,15502,3578.27,286.2616,89.4568,3953.9884
43728,6/8/2011,6/15/2011,27666,20616,20616,3578.27,286.2616,89.4568,3953.9884
43729,6/8/2011,6/15/2011,11238,12420,12420,3399.99,271.9992,84.9998,3756.989
43730,6/8/2011,6/15/2011,25861,23733,23733,3399.99,271.9992,84.9998,3756.989
43731,6/8/2011,6/15/2011,16629,14019,14019,3578.27,286.2616,89.4568,3953.9884
43732,6/8/2011,6/15/2011,11025,21635,21635,3374.99,269.9992,84.3748,3729.364
43733,6/8/2011,6/15/2011,27577,24572,24572,3578.27,286.2616,89.4568,3953.9884
43734,6/9/2011,6/16/2011,27604,23224,23224,3578.27,286.2616,89.4568,3953.9884
43735,6/9/2011,6/16/2011,16522,25384,25384,3578.27,286.2616,89.4568,3953.9884
43736,6/9/2011,6/16/2011,11002,20336,20336,3399.99,271.9992,84.9998,3756.989
43737,6/10/2011,6/17/2011,13261,29772,29772,3578.27,286.2616,89.4568,3953.9884
43738,6/10/2011,6/17/2011,11606,26167,26167,3578.27,286.2616,89.4568,3953.9884
43739,6/10/2011,6/17/2011,13563,29262,29262,3578.27,286.2616,89.4568,3953.9884
43740,6/10/2011,6/17/2011,16527,28420,28420,3578.27,286.2616,89.4568,3953.9884
43741,6/11/2011,6/18/2011,27671,13036,13036,3578.27,286.2616,89.4568,3953.9884
43742,6/11/2011,6/18/2011,13576,20966,20966,3578.27,286.2616,89.4568,3953.9884
43743,6/11/2011,6/18/2011,11007,12909,12909,3399.99,271.9992,84.9998,3756.989
43744,6/11/2011,6/18/2011,16631,12423,12423,3578.27,286.2616,89.4568,3953.9884
43745,6/12/2011,6/19/2011,16514,25018,25018,3578.27,286.2616,89.4568,3953.9884
43746,6/12/2011,6/19/2011,16616,28214,28214,3578.27,286.2616,89.4568,3953.9884
43747,6/13/2011,6/20/2011,27623,27241,27241,3578.27,286.2616,89.4568,3953.9884
43748,6/13/2011,6/20/2011,27625,16663,16663,3578.27,286.2616,89.4568,3953.9884
43749,6/13/2011,6/20/2011,27636,17878,17878,3578.27,286.2616,89.4568,3953.9884
43750,6/13/2011,6/20/2011,11591,26694,26694,3578.27,286.2616,89.4568,3953.9884
43751,6/13/2011,6/20/2011,11592,17421,17421,3578.27,286.2616,89.4568,3953.9884
43752,6/13/2011,6/20/2011,13265,25970,25970,3578.27,286.2616,89.4568,3953.9884
43753,6/13/2011,6/20/2011,16482,19434,19434,3578.27,286.2616,89.4568,3953.9884
43754,6/14/2011,6/21/2011,27617,18700,18700,3578.27,286.2616,89.4568,3953.9884
43755,6/14/2011,6/21/2011,27670,21785,21785,3578.27,286.2616,89.4568,3953.9884
43756,6/14/2011,6/21/2011,19941,12565,12565,699.0982,55.9279,17.4775,772.5036
43757,6/14/2011,6/21/2011,11017,11541,11541,3374.99,269.9992,84.3748,3729.364
43758,6/15/2011,6/22/2011,27646,14400,14400,3578.27,286.2616,89.4568,3953.9884
43759,6/15/2011,6/22/2011,13257,21516,21516,3578.27,286.2616,89.4568,3953.9884
43760,6/15/2011,6/22/2011,16352,11694,11694,3578.27,286.2616,89.4568,3953.9884
43761,6/15/2011,6/22/2011,16493,24449,24449,3578.27,286.2616,89.4568,3953.9884
43762,6/16/2011,6/23/2011,27578,19011,19011,3578.27,286.2616,89.4568,3953.9884
43763,6/16/2011,6/23/2011,16525,13961,13961,3578.27,286.2616,89.4568,3953.9884
43764,6/16/2011,6/23/2011,16612,18740,18740,3578.27,286.2616,89.4568,3953.9884
43765,6/16/2011,6/23/2011,11010,15412,15412,3399.99,271.9992,84.9998,3756.989
43766,6/17/2011,6/24/2011,16518,26446,26446,3578.27,286.2616,89.4568,3953.9884
43767,6/17/2011,6/24/2011,11001,14489,14489,3374.99,269.9992,84.3748,3729.364
43768,6/18/2011,6/25/2011,27649,24209,24209,3578.27,286.2616,89.4568,3953.9884
43769,6/18/2011,6/25/2011,21659,12365,12365,3578.27,286.2616,89.4568,3953.9884
43770,6/18/2011,6/25/2011,27614,21039,21039,3578.27,286.2616,89.4568,3953.9884
43771,6/18/2011,6/25/2011,14559,21657,21657,699.0982,55.9279,17.4775,772.5036
43772,6/18/2011,6/25/2011,16524,15700,15700,3578.27,286.2616,89.4568,3953.9884
43773,6/18/2011,6/25/2011,16526,19998,19998,3578.27,286.2616,89.4568,3953.9884
43774,6/18/2011,6/25/2011,16348,20184,20184,3578.27,286.2616,89.4568,3953.9884
43775,6/18/2011,6/25/2011,11027,14561,14561,3399.99,271.9992,84.9998,3756.989
43776,6/19/2011,6/26/2011,13260,15402,15402,3578.27,286.2616,89.4568,3953.9884
43777,6/19/2011,6/26/2011,16515,24873,24873,3578.27,286.2616,89.4568,3953.9884
43778,6/19/2011,6/26/2011,11018,16433,16433,3399.99,271.9992,84.9998,3756.989
43779,6/19/2011,6/26/2011,25252,20850,20850,699.0982,55.9279,17.4775,772.5036
43780,6/20/2011,6/27/2011,11599,25850,25850,3578.27,286.2616,89.4568,3953.9884
43781,6/20/2011,6/27/2011,16495,22857,22857,3578.27,286.2616,89.4568,3953.9884
43782,6/20/2011,6/27/2011,16516,13386,13386,3578.27,286.2616,89.4568,3953.9884
43783,6/20/2011,6/27/2011,16620,26601,26601,3578.27,286.2616,89.4568,3953.9884
43784,6/21/2011,6/28/2011,27667,12491,12491,3578.27,286.2616,89.4568,3953.9884
43785,6/21/2011,6/28/2011,11601,17236,17236,3578.27,286.2616,89.4568,3953.9884
43786,6/21/2011,6/28/2011,11607,23683,23683,3578.27,286.2616,89.4568,3953.9884
43787,6/21/2011,6/28/2011,29385,29348,29348,3399.99,271.9992,84.9998,3756.989
43788,6/21/2011,6/28/2011,11239,25489,25489,3374.99,269.9992,84.3748,3729.364
43789,6/21/2011,6/28/2011,25865,21950,21950,3374.99,269.9992,84.3748,3729.364
43790,6/21/2011,6/28/2011,25857,21871,21871,3399.99,271.9992,84.9998,3756.989
43791,6/21/2011,6/28/2011,16484,11580,11580,3578.27,286.2616,89.4568,3953.9884
43792,6/21/2011,6/28/2011,16623,14105,14105,3578.27,286.2616,89.4568,3953.9884
43793,6/21/2011,6/28/2011,11000,22601,22601,3399.99,271.9992,84.9998,3756.989
43794,6/21/2011,6/28/2011,11029,24713,24713,3399.99,271.9992,84.9998,3756.989
43795,6/22/2011,6/29/2011,27615,12290,12290,3578.27,286.2616,89.4568,3953.9884
43796,6/22/2011,6/29/2011,17956,11860,11860,699.0982,55.9279,17.4775,772.5036
43797,6/22/2011,6/29/2011,16345,11578,11578,3578.27,286.2616,89.4568,3953.9884
43798,6/22/2011,6/29/2011,16521,17493,17493,3578.27,286.2616,89.4568,3953.9884
43799,6/22/2011,6/29/2011,16636,23813,23813,3578.27,286.2616,89.4568,3953.9884
43800,6/23/2011,6/30/2011,21710,16244,16244,3578.27,286.2616,89.4568,3953.9884
43801,6/23/2011,6/30/2011,13583,22676,22676,3578.27,286.2616,89.4568,3953.9884
43802,6/23/2011,6/30/2011,11593,15981,15981,3578.27,286.2616,89.4568,3953.9884
43803,6/24/2011,7/1/2011,21741,17092,17092,3578.27,286.2616,89.4568,3953.9884
43804,6/24/2011,7/1/2011,13585,18048,18048,3578.27,286.2616,89.4568,3953.9884
43805,6/24/2011,7/1/2011,14510,26084,26084,699.0982,55.9279,17.4775,772.5036
43806,6/24/2011,7/1/2011,16523,26735,26735,3578.27,286.2616,89.4568,3953.9884
43807,6/25/2011,7/2/2011,11611,15499,15499,3578.27,286.2616,89.4568,3953.9884
43808,6/25/2011,7/2/2011,13259,24940,24940,3578.27,286.2616,89.4568,3953.9884
43809,6/25/2011,7/2/2011,16350,12891,12891,3578.27,286.2616,89.4568,3953.9884
43810,6/25/2011,7/2/2011,11004,20971,20971,3399.99,271.9992,84.9998,3756.989
43811,6/25/2011,7/2/2011,11026,11877,11877,3399.99,271.9992,84.9998,3756.989
43812,6/26/2011,7/3/2011,27662,13852,13852,3578.27,286.2616,89.4568,3953.9884
43813,6/26/2011,7/3/2011,28390,16896,16896,3374.99,269.9992,84.3748,3729.364
43814,6/26/2011,7/3/2011,25866,21939,21939,3374.99,269.9992,84.3748,3729.364
43815,6/26/2011,7/3/2011,16494,15915,15915,3578.27,286.2616,89.4568,3953.9884
43816,6/26/2011,7/3/2011,16496,21277,21277,3578.27,286.2616,89.4568,3953.9884
43817,6/26/2011,7/3/2011,16519,12674,12674,3578.27,286.2616,89.4568,3953.9884
43818,6/26/2011,7/3/2011,16528,16539,16539,3578.27,286.2616,89.4568,3953.9884
43819,6/26/2011,7/3/2011,11006,15264,15264,3399.99,271.9992,84.9998,3756.989
43820,6/27/2011,7/4/2011,27651,24200,24200,3578.27,286.2616,89.4568,3953.9884
43821,6/27/2011,7/4/2011,27663,24836,24836,3578.27,286.2616,89.4568,3953.9884
43822,6/27/2011,7/4/2011,27669,20019,20019,3578.27,286.2616,89.4568,3953.9884
43823,6/27/2011,7/4/2011,19942,15988,15988,699.0982,55.9279,17.4775,772.5036
43824,6/27/2011,7/4/2011,14558,11804,11804,699.0982,55.9279,17.4775,772.5036
43825,6/27/2011,7/4/2011,16349,16955,16955,3578.27,286.2616,89.4568,3953.9884
43826,6/27/2011,7/4/2011,11008,23743,23743,3374.99,269.9992,84.3748,3729.364
43827,6/27/2011,7/4/2011,25250,27524,27524,699.0982,55.9279,17.4775,772.5036
43828,6/28/2011,7/5/2011,27605,13129,13129,3578.27,286.2616,89.4568,3953.9884
43829,6/28/2011,7/5/2011,27611,24776,24776,3578.27,286.2616,89.4568,3953.9884
43830,6/28/2011,7/5/2011,16347,18564,18564,3578.27,286.2616,89.4568,3953.9884
43831,6/28/2011,7/5/2011,11028,24158,24158,3374.99,269.9992,84.3748,3729.364
43832,6/28/2011,7/5/2011,13584,23837,23837,3578.27,286.2616,89.4568,3953.9884
43833,6/29/2011,7/6/2011,21727,16752,16752,3578.27,286.2616,89.4568,3953.9884
43834,6/29/2011,7/6/2011,28393,15471,15471,3374.99,269.9992,84.3748,3729.364
43835,6/29/2011,7/6/2011,19802,17401,17401,3374.99,269.9992,84.3748,3729.364
43836,6/29/2011,7/6/2011,26620,19261,19261,699.0982,55.9279,17.4775,772.5036
43837,6/29/2011,7/6/2011,11009,29335,29335,3374.99,269.9992,84.3748,3729.364
43838,6/30/2011,7/7/2011,27641,16330,16330,3578.27,286.2616,89.4568,3953.9884
43839,6/30/2011,7/7/2011,27673,20037,20037,3578.27,286.2616,89.4568,3953.9884
43840,6/30/2011,7/7/2011,17957,25544,25544,699.0982,55.9279,17.4775,772.5036
43841,6/30/2011,7/7/2011,13406,28149,28149,3578.27,286.2616,89.4568,3953.9884
43842,6/30/2011,7/7/2011,16630,18492,18492,3578.27,286.2616,89.4568,3953.9884
43843,7/1/2011,7/8/2011,29955,756,756,32940.1556,3174.1988,991.9371,37106.2915
43844,7/1/2011,7/8/2011,29620,503,503,20249.94,1943.9942,607.4982,22801.4324
43845,7/1/2011,7/8/2011,29888,930,930,8580.0739,823.6669,257.3959,9661.1367
43846,7/1/2011,7/8/2011,29548,498,498,919.5201,90.6637,28.3324,1038.5162
43847,7/1/2011,7/8/2011,29539,480,480,908.8209,86.9292,27.1654,1022.9155
43848,7/1/2011,7/8/2011,29717,851,851,18269.946,1753.9148,548.0984,20571.9592
43849,7/1/2011,7/8/2011,29818,1104,1104,20544.7015,1969.9765,615.6177,23130.2957
43850,7/1/2011,7/8/2011,29892,476,476,10183.7952,982.9377,307.168,11473.9009
43851,7/1/2011,7/8/2011,29509,816,816,6783.7679,651.4975,203.593,7638.8584
43852,7/1/2011,7/8/2011,29855,539,539,2024.994,194.3994,60.7498,2280.1432
43853,7/1/2011,7/8/2011,29813,446,446,26354.922,2530.0725,790.6477,29675.6422
43854,7/1/2011,7/8/2011,29988,478,478,1749.588,167.9604,52.4876,1970.036
43855,7/1/2011,7/8/2011,29946,462,462,10993.3516,1058.7224,330.8508,12382.9248
43856,7/1/2011,7/8/2011,29680,509,509,2036.394,195.3874,61.0586,2292.84
43857,7/1/2011,7/8/2011,30074,534,534,7186.5371,689.052,215.3287,8090.9178
43858,7/1/2011,7/8/2011,29961,758,758,13694.3494,1317.0672,411.5835,15423.0001
43859,7/1/2011,7/8/2011,29865,1032,1032,3911.5991,375.2443,117.2639,4404.1073
43860,7/1/2011,7/8/2011,29773,832,832,10993.3942,1057.2843,330.4013,12381.0798
43861,7/1/2011,7/8/2011,29749,974,974,23401.1062,2244.4088,701.3777,26346.8927
43862,7/1/2011,7/8/2011,29945,919,919,31000.7804,2987.8703,933.7095,34922.3602
43863,7/1/2011,7/8/2011,29764,611,611,1718.8983,164.9658,51.5518,1935.4159
43864,7/1/2011,7/8/2011,30056,1052,1052,38474.3572,3703.8969,1157.4678,43335.7219
43865,7/1/2011,7/8/2011,30117,596,596,13196.0548,1268.2589,396.3309,14860.6446
43866,7/1/2011,7/8/2011,29571,864,864,4076.388,391.2268,122.2584,4589.8732
43867,7/1/2011,7/8/2011,29582,848,848,32673.0446,3149.2911,984.1535,36806.4892
43868,7/1/2011,7/8/2011,30042,523,523,2146.962,206.1084,64.4089,2417.4793
43869,7/1/2011,7/8/2011,30107,1099,1099,49193.9864,4734.607,1479.5647,55408.1581
43870,7/1/2011,7/8/2011,29675,765,765,4316.9864,413.6232,129.2572,4859.8668
43871,7/1/2011,7/8/2011,30076,1076,1076,9398.8972,899.949,281.2341,10580.0803
43872,7/1/2011,7/8/2011,30100,1028,1028,11584.459,1110.9858,347.1831,13042.6279
43873,7/1/2011,7/8/2011,29703,1001,1001,41250.4391,3973.725,1241.789,46465.9531
43874,7/1/2011,7/8/2011,29569,562,562,419.4589,40.2681,12.5838,472.3108
43875,7/1/2011,7/8/2011,29624,30,938,121761.9396,11871.5033,3709.8448,137343.2877
43876,7/1/2011,7/8/2011,30091,784,784,7135.2649,686.9474,214.6711,8036.8834
43877,7/1/2011,7/8/2011,29925,840,840,20628.5745,1977.1163,617.8489,23223.5397
43878,7/1/2011,7/8/2011,29664,770,770,4079.988,391.6788,122.3996,4594.0664
43879,7/1/2011,7/8/2011,29510,540,540,21718.7639,2087.8858,652.4643,24459.114
43880,7/1/2011,7/8/2011,29789,501,501,15479.55,1488.4458,465.1393,17433.1351
43881,7/1/2011,7/8/2011,30111,598,598,38816.8056,3725.7234,1164.2885,43706.8175
43882,7/1/2011,7/8/2011,29558,500,500,2024.994,194.3994,60.7498,2280.1432
43883,7/1/2011,7/8/2011,29724,829,829,18320.6894,1763.0175,550.943,20634.6499
43884,7/1/2011,7/8/2011,29861,11382,628,115696.3313,11215.3536,3504.798,130416.4829
43885,7/1/2011,7/8/2011,29757,1070,1070,68.4,5.928,1.8525,76.1805
43886,7/1/2011,7/8/2011,29698,497,497,17358.0101,1664.9942,520.3107,19543.315
43887,7/1/2011,7/8/2011,29493,970,970,419.4589,40.2681,12.5838,472.3108
43888,7/1/2011,7/8/2011,29794,466,466,14432.8174,1388.4649,433.8953,16255.1776
43889,7/1/2011,7/8/2011,29830,553,553,2082.6748,199.3984,62.312,2344.3852
43890,7/1/2011,7/8/2011,29515,504,504,75191.9599,7234.307,2260.7209,84686.9878
43891,7/1/2011,7/8/2011,29807,449,449,32569.104,3126.3148,976.9734,36672.3922
43892,7/1/2011,7/8/2011,29716,1015,1015,16544.5461,1587.1682,495.9901,18627.7044
43893,7/1/2011,7/8/2011,29905,505,505,419.4589,40.2681,12.5838,472.3108
43894,7/1/2011,7/8/2011,30004,892,892,32492.604,3118.7048,974.5952,36585.904
43895,7/1/2011,7/8/2011,29742,884,884,32459.9278,3121.4886,975.4652,36556.8816
43896,7/1/2011,7/8/2011,29866,588,588,4345.8268,416.1227,130.0383,4891.9878
43897,7/1/2011,7/8/2011,29522,1040,1040,51235.0091,4912.9311,1535.291,57683.2312
43898,7/1/2011,7/8/2011,29705,459,459,50948.9161,4908.5808,1533.9315,57391.4284
43899,7/1/2011,7/8/2011,29906,600,600,11942.5965,1147.8551,358.7047,13449.1563
43900,7/1/2011,7/8/2011,29880,954,954,34628.298,3323.6782,1038.6494,38990.6256
43901,7/1/2011,7/8/2011,29901,1053,1053,22717.5954,2177.0702,680.3344,25575
43902,7/1/2011,7/8/2011,29507,972,972,52803.4477,5091.7865,1591.1833,59486.4175
43903,7/1/2011,7/8/2011,29968,915,915,20.1865,1.6149,0.5047,22.3061
43904,7/1/2011,7/8/2011,30095,587,587,11361.2706,1093.5814,341.7442,12796.5962
43905,7/1/2011,7/8/2011,29846,979,979,9880.2666,950.9438,297.1699,11128.3803
43906,7/1/2011,7/8/2011,29523,593,593,32971.323,3162.1366,988.1677,37121.6273
43907,7/1/2011,7/8/2011,29791,792,792,14660.3024,1407.7759,439.93,16508.0083
43908,7/1/2011,7/8/2011,29731,802,802,2561.5408,246.3213,76.9754,2884.8375
43909,7/1/2011,7/8/2011,29787,869,869,25493.3215,2461.1244,769.1014,28723.5473
43910,7/1/2011,7/8/2011,29963,913,913,19411.9336,1867.3968,583.5615,21862.8919
43911,7/1/2011,7/8/2011,29617,880,880,19734.8665,1896.6545,592.7045,22224.2255
43912,7/1/2011,7/8/2011,29853,1056,1056,13078.2699,1258.9537,393.423,14730.6466
43913,7/1/2011,7/8/2011,29774,564,564,36724.0974,3522.2975,1100.718,41347.1129
43914,7/1/2011,7/8/2011,29521,1054,1054,8152.776,782.4537,244.5168,9179.7465
43915,7/1/2011,7/8/2011,29688,785,785,4049.988,388.7988,121.4996,4560.2864
43916,7/1/2011,7/8/2011,29511,1046,1046,39450.7884,3788.8057,1184.0018,44423.5959
43917,7/1/2011,7/8/2011,29885,857,857,21356.1593,2050.8186,640.8808,24047.8587
43918,7/1/2011,7/8/2011,22041,18086,18086,3578.27,286.2616,89.4568,3953.9884
43919,7/1/2011,7/8/2011,12124,27575,27575,3578.27,286.2616,89.4568,3953.9884
43920,7/1/2011,7/8/2011,28066,27151,27151,3578.27,286.2616,89.4568,3953.9884
43921,7/1/2011,7/8/2011,16743,18516,18516,3578.27,286.2616,89.4568,3953.9884
43922,7/1/2011,7/8/2011,13546,26226,26226,3578.27,286.2616,89.4568,3953.9884
43923,7/2/2011,7/9/2011,28018,28877,28877,3578.27,286.2616,89.4568,3953.9884
43924,7/2/2011,7/9/2011,12132,29716,29716,3578.27,286.2616,89.4568,3953.9884
43925,7/2/2011,7/9/2011,16661,28478,28478,3578.27,286.2616,89.4568,3953.9884
43926,7/3/2011,7/10/2011,11055,18542,18542,3374.99,269.9992,84.3748,3729.364
43927,7/3/2011,7/10/2011,16662,26702,26702,3578.27,286.2616,89.4568,3953.9884
43928,7/3/2011,7/10/2011,16740,14404,14404,3578.27,286.2616,89.4568,3953.9884
43929,7/3/2011,7/10/2011,25270,25405,25405,699.0982,55.9279,17.4775,772.5036
43930,7/4/2011,7/11/2011,28038,28267,28267,3578.27,286.2616,89.4568,3953.9884
43931,7/4/2011,7/11/2011,13548,17636,17636,3578.27,286.2616,89.4568,3953.9884
43932,7/4/2011,7/11/2011,16741,26403,26403,3578.27,286.2616,89.4568,3953.9884
43933,7/4/2011,7/11/2011,11031,22987,22987,3399.99,271.9992,84.9998,3756.989
43934,7/4/2011,7/11/2011,11034,18711,18711,3399.99,271.9992,84.9998,3756.989
43935,7/5/2011,7/12/2011,20048,16643,16643,699.0982,55.9279,17.4775,772.5036
43936,7/5/2011,7/12/2011,28065,26957,26957,3578.27,286.2616,89.4568,3953.9884
43937,7/5/2011,7/12/2011,17047,24245,24245,3578.27,286.2616,89.4568,3953.9884
43938,7/5/2011,7/12/2011,16686,15337,15337,3578.27,286.2616,89.4568,3953.9884
43939,7/5/2011,7/12/2011,16659,21292,21292,3578.27,286.2616,89.4568,3953.9884
43940,7/5/2011,7/12/2011,25294,17574,17574,699.0982,55.9279,17.4775,772.5036
43941,7/6/2011,7/13/2011,13600,19186,19186,3578.27,286.2616,89.4568,3953.9884
43942,7/6/2011,7/13/2011,17051,14866,14866,3578.27,286.2616,89.4568,3953.9884
43943,7/6/2011,7/13/2011,14565,19488,19488,699.0982,55.9279,17.4775,772.5036
43944,7/6/2011,7/13/2011,11054,18844,18844,3399.99,271.9992,84.9998,3756.989
43945,7/6/2011,7/13/2011,16675,19751,19751,3578.27,286.2616,89.4568,3953.9884
43946,7/6/2011,7/13/2011,16687,23516,23516,3578.27,286.2616,89.4568,3953.9884
43947,7/6/2011,7/13/2011,16712,14056,14056,3578.27,286.2616,89.4568,3953.9884
43948,7/6/2011,7/13/2011,11047,21998,21998,3399.99,271.9992,84.9998,3756.989
43949,7/7/2011,7/14/2011,27726,19937,19937,3578.27,286.2616,89.4568,3953.9884
43950,7/7/2011,7/14/2011,28014,20434,20434,3578.27,286.2616,89.4568,3953.9884
43951,7/7/2011,7/14/2011,16696,14933,14933,3578.27,286.2616,89.4568,3953.9884
43952,7/7/2011,7/14/2011,16639,24077,24077,3578.27,286.2616,89.4568,3953.9884
43953,7/8/2011,7/15/2011,20049,21405,21405,699.0982,55.9279,17.4775,772.5036
43954,7/8/2011,7/15/2011,13602,16657,16657,3578.27,286.2616,89.4568,3953.9884
43955,7/8/2011,7/15/2011,13661,25143,25143,3578.27,286.2616,89.4568,3953.9884
